id,created_at,description,scan_id,type,recommendation,severity,attack_type_code,state,eal_low,eal_ml,eal_high,eal_daily
629,2025-07-02 23:07:37.614,DMARC policy is in monitoring mode (p=none) and provides no active protection.,-WIM2uWCc7z,EMAIL_SECURITY_WEAKNESS,Strengthen DMARC policy from p=none to p=quarantine or p=reject to actively prevent email spoofing.,LOW,PHISHING_BEC,VERIFIED,1000,1000,2000,
630,2025-07-02 23:07:39.284,4 medium breach exposures found,-WIM2uWCc7z,PASSWORD_BREACH_EXPOSURE,Force password reset and enable 2FA for affected accounts,MEDIUM,MALWARE,VERIFIED,2000,4000,8000,
631,2025-07-02 23:07:39.292,1 critical breach exposures found,-WIM2uWCc7z,CRITICAL_BREACH_EXPOSURE,Immediately force password reset and revoke all sessions for affected accounts,CRITICAL,MALWARE,VERIFIED,5000,10000,20000,
632,2025-07-02 23:07:39.3,11 info breach exposures found,-WIM2uWCc7z,EMAIL_BREACH_EXPOSURE,Monitor for phishing attempts and consider security awareness training,INFO,MALWARE,DISREGARD,1000,1000,2000,
633,2025-07-02 23:07:49.161,Python validation: TLS handshake failed: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),-WIM2uWCc7z,TLS_CONFIGURATION_ISSUE,Configure server to present complete certificate chain including intermediate certificates,INFO,MALWARE,VERIFIED,1000,1000,2000,
634,2025-07-02 23:08:00.634,Python validation: TLS handshake failed: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),-WIM2uWCc7z,TLS_CONFIGURATION_ISSUE,Configure server to present complete certificate chain including intermediate certificates,INFO,MALWARE,AUTOMATED,1000,1000,2000,
635,2025-07-02 23:08:00.636,No valid SSL/TLS certificate found on any tested host variant,-WIM2uWCc7z,MISSING_TLS_CERTIFICATE,Configure SSL/TLS certificates for all public hosts,HIGH,MALWARE,AUTOMATED,4000,8000,16000,
636,2025-07-02 23:08:32.87,"Active typosquat threat requiring immediate action. Domain resolves to IP address. Has MX records (email capability). Responds to HTTP requests. Different registrar and registrant - potential threat. Redirects to original domain but different registrar (verify ownership) | Original registrar: GoDaddy.com, LLC, Typosquat registrar: [WHOIS lookup failed]",-WIM2uWCc7z,EMAIL_PHISHING_CAPABILITY,Urgent: Initiate takedown procedures - email phishing capability with different registrar,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
637,2025-07-02 23:08:32.884,"Suspicious typosquat requiring investigation. Algorithmic pattern detected: hyphen-insertion-subdomain. Unusual pattern but actively hosting content | Original registrar: GoDaddy.com, LLC, Typosquat registrar: [WHOIS lookup failed]",-WIM2uWCc7z,SUSPICIOUS_TYPOSQUAT,"Investigate further - verify ownership, check content, and assess for active abuse",MEDIUM,MALWARE,AUTOMATED,2000,4000,8000,
638,2025-07-02 23:08:52.228,"Suspicious typosquat requiring investigation. Algorithmic pattern detected: hyphen-insertion-subdomain. Unusual pattern but actively hosting content | Original registrar: GoDaddy.com, LLC, Typosquat registrar: [WHOIS lookup failed]",-WIM2uWCc7z,SUSPICIOUS_TYPOSQUAT,"Investigate further - verify ownership, check content, and assess for active abuse",MEDIUM,MALWARE,AUTOMATED,2000,4000,8000,
639,2025-07-02 23:08:53.565,"Suspicious typosquat requiring investigation. Algorithmic pattern detected: split-word-subdomain. Unusual pattern but actively hosting content | Original registrar: GoDaddy.com, LLC, Typosquat registrar: [WHOIS lookup failed]",-WIM2uWCc7z,SUSPICIOUS_TYPOSQUAT,"Investigate further - verify ownership, check content, and assess for active abuse",MEDIUM,MALWARE,AUTOMATED,2000,4000,8000,
640,2025-07-02 23:08:59.712,Rule: color-contrast | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=axeAPI,-WIM2uWCc7z,ACCESSIBILITY_VIOLATION,Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds (32 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,5000,15000,75000,
641,2025-07-02 23:08:59.713,Rule: html-has-lang | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=axeAPI,-WIM2uWCc7z,ACCESSIBILITY_VIOLATION,Ensures every HTML document has a lang attribute (4 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,5000,15000,75000,
642,2025-07-02 23:08:59.714,Rule: image-alt | Impact: critical | Help: https://dequeuniversity.com/rules/axe/4.8/image-alt?application=axeAPI,-WIM2uWCc7z,ACCESSIBILITY_VIOLATION,Ensures <img> elements have alternate text or a role of none or presentation (12 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,5000,15000,75000,
643,2025-07-02 23:08:59.716,Rule: link-name | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/link-name?application=axeAPI,-WIM2uWCc7z,ACCESSIBILITY_VIOLATION,Ensures links have discernible text (48 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,5000,15000,75000,
644,2025-07-02 23:08:59.717,Rule: listitem | Impact: serious | Help: https://dequeuniversity.com/rules/axe/4.8/listitem?application=axeAPI,-WIM2uWCc7z,ACCESSIBILITY_VIOLATION,Ensures <li> elements are used semantically (4 elements across 4 pages),HIGH,ADA_COMPLIANCE,AUTOMATED,5000,15000,75000,
645,2025-07-02 23:08:59.718,Rule: meta-viewport | Impact: critical | Help: https://dequeuniversity.com/rules/axe/4.8/meta-viewport?application=axeAPI,-WIM2uWCc7z,ACCESSIBILITY_VIOLATION,"Ensures <meta name=""viewport""> does not disable text scaling and zooming (4 elements across 4 pages)",HIGH,ADA_COMPLIANCE,AUTOMATED,5000,15000,75000,
646,2025-07-02 23:10:50.016,"Suspicious typosquat requiring investigation. Algorithmic pattern detected: dga-style. Unusual pattern but actively hosting content | Original registrar: GoDaddy.com, LLC, Typosquat registrar: GoDaddy.com, LLC",-WIM2uWCc7z,SUSPICIOUS_TYPOSQUAT,"Investigate further - verify ownership, check content, and assess for active abuse",MEDIUM,MALWARE,AUTOMATED,2000,4000,8000,
